"term","estimate","std.error","statistic","p.value","unique_hummock"
"Year",-0.736636622942727,NA,NA,NA,"20"
"(Intercept)",4.59486419685201,NA,NA,NA,"21"
"Year",-0.527339872689274,NA,NA,NA,"21"
"(Intercept)",4.58317948111527,NA,NA,NA,"22"
"Year",0.059256409642042,NA,NA,NA,"22"
"(Intercept)",4.56484052285701,NA,NA,NA,"23"
"Year",-0.499154945825986,NA,NA,NA,"23"
"(Intercept)",4.26084389175001,NA,NA,NA,"24"
"Year",-0.493524365894513,NA,NA,NA,"24"
NA,NA,NA,NA,NA,"25"
NA,NA,NA,NA,NA,"26"
NA,NA,NA,NA,NA,"27"
NA,NA,NA,NA,NA,"28"
NA,NA,NA,NA,NA,"29"
NA,NA,NA,NA,NA,"30"
NA,NA,NA,NA,NA,"31"
NA,NA,NA,NA,NA,"32"
NA,NA,NA,NA,NA,"33"
NA,NA,NA,NA,NA,"34"
NA,NA,NA,NA,NA,"35"
NA,NA,NA,NA,NA,"36"
"(Intercept)",4.60954544058726,NA,NA,NA,"37"
"Year",-0.11077006153898,NA,NA,NA,"37"
NA,NA,NA,NA,NA,"38"
NA,NA,NA,NA,NA,"39"
NA,NA,NA,NA,NA,"40"
NA,NA,NA,NA,NA,"41"
"(Intercept)",4.01584406723485,0.0241172202770732,166.513554261163,4.77601396219169e-07,"42"
"Year",0.302080169699617,0.0279518851660081,10.8071483517316,0.00169476869660856,"42"
"(Intercept)",4.50115539378667,0.196159338883031,22.9464241642387,0.00189380342736982,"43"
"Year",-0.296086960139435,0.220464064328511,-1.34301688141901,0.311381531239581,"43"
"(Intercept)",4.07992088582631,NA,NA,NA,"44"
"Year",NA,NA,NA,NA,"44"
"(Intercept)",4.25171206311832,0.701021691265818,6.06502211856113,0.104029821214282,"45"
"Year",-0.214656701662834,0.809470124320174,-0.265181746939841,0.834978259328242,"45"
"(Intercept)",3.96866880135754,NA,NA,NA,"46"
"Year",NA,NA,NA,NA,"46"
